Date,Transaction Description,Type,Credit (£),Debit (£),Balance (£)
04-Sep-19,LNK COOPERATIVE SW CD 4821 08DEC19,CPT,,300,873.56
09-Sep-19,P ADAMCZUK KASA 7420,TFR,50,,923.56
11-Sep-19,BARCLAYCARD CD 7420,DEB,,2.5,921.06
15-Sep-19,WESTERN VILLA CD 7420,DEB,,240,681.06
16-Sep-19,WINELEAF CD 7420,DEB,,26.69,654.37
17-Sep-19,LNK COOPERATIVE SW CD 7420 06DEC19,CPT,,200,454.37
18-Sep-19,LV LIFE 03592291015W,DD,,33.03,421.34
22-Sep-19,PARK FOOD AND WINE CD 7420,DEB,,30.46,390.88
22-Sep-19,LNK COOPERATIVE SW CD 7420 05DEC19,CPT,,20,370.88
25-Sep-19,LNK COOPERATIVE SW CD 7420 03DEC19,CPT,,200,170.88
26-Sep-19,UBER *TRIP LJSAM,DEB,,17.43,153.45
29-Sep-19,D ROBERTSON,DEB,960,,1113.45
03-Oct-19,WINELEAF CD 7420,DEB,,17,1096.45
05-Oct-19,KATE EYR G D LTD KEGD RP4679969826950500,FPI,790,,1886.45
08-Oct-19,LNK COOPERATIVE SW CD 7420 01DEC19,CPT,,100,1786.45
12-Oct-19,LNK PO MITCHAM LAN CD 7420 30NOV19,CPT,,10,1776.45
12-Oct-19,MIS BAR MLECZNY CD 7420,DEB,,28.9,1747.55
16-Oct-19,SPORTSDIRECT 252 CD 7420,DEB,,27.99,1719.56
19-Oct-19,KATE EYR G D LTD KEGD RP4679969433992900,FPI,860,,1849.56
22-Oct-19,LOYD STREATHAM HIG,CSH,730,,2579.56
23-Oct-19,A FARAFOSZYN,TFR,,100,2479.56
23-Oct-19,WINELEAF CD 7420,DEB,,10.5,2469.06
24-Oct-19,LNK PO MITCHAM LAN CD 7420 11SEP15,CPT,,150,2319.06
27-Oct-19,MCDONALDS CD7420,DEB,,25.79,2293.67
30-Oct-19,SUPER CHOICE CD 7420,DEB,,76.6,2216.67
05-Nov-19,TESCO STORES 6765 CD 7420,DEB,,42.6,2174.07
06-Nov-19,CROY CTRL 773001,DEB,200.12,,2374.07
07-Nov-19,VODAFONE LTD 7014378191-1001,DD,,50,2324.07
11-Nov-19,LOYD ROYDON CENTR CD 7420,CPT,,200,2124.07
13-Nov-19,NIKE FACTORY STORE CD 7420,DEB,,250,1874.07
13-Nov-19,LOYD STREATHAM HIG,CSH,,340,1534.04
14-Nov-19,KATE EYR G D LTD KEGD,")3,",870,,2404.04
17-Nov-19,KINGS TUN CD 7420,DEB,,56.6,2347.44
18-Nov-19,LNK COOPERATIVE SW CD 7420 17NOV19,CPT,,170,2177.44
19-Nov-19,WESTERN VILLA CD7420,DEB,,185.6,1991.84
19-Nov-19,P ADAMCZUK KASA,TFR,,210,1781.84
22-Nov-19,BEDFORD TAVERN CD 7420,DEB,,198,1583.84
23-Nov-19,MCDONALDS DC 7420,DEB,,16.34,1567.05
26-Nov-19,KATE EYR G D LTD KEGD RP4679966305820600,FPI,960,,2527.05
27-Nov-19,LNK WEST NORWOOD 1 CD 7420 27NOV19,CPT,,70,2457.05
28-Nov-19,DELIGHT CD 7420,DEB,,133.45,2324.05
29-Nov-19,Amazon UK Marketpl CD 7420,DEB,,262,2062.05
